date,forecast
2024-12-31,134.51690375530004
2025-01-01,134.93589301401
2025-01-02,135.72803156292645
2025-01-03,135.2350508092275
2025-01-04,135.10039670978776
2025-01-05,135.38750566550706
2025-01-06,135.2194314644068
2025-01-07,135.085805974751
2025-01-08,135.4174576908269
2025-01-09,135.91422274869814
2025-01-10,135.5364768371766
2025-01-11,135.30877369427355
2025-01-12,135.86816678490393
2025-01-13,135.66981869078168
2025-01-14,135.49326484803086
2025-01-15,135.81878766911433
2025-01-16,136.2948249499654
2025-01-17,135.9251656209775
2025-01-18,135.69093277963057
2025-01-19,136.2694333562258
2025-01-20,136.06896079757604
2025-01-21,135.8893944660347
2025-01-22,136.21448719310962
2025-01-23,136.68906990625837
2025-01-24,136.3199780516197
2025-01-25,136.08528698996037
2025-01-26,136.66512843064967
2025-01-27,136.4645067881168
2025-01-28,136.28472905576322
2025-01-29,136.60979160107513
